ROI,Diffusivity,Min,Q1,Median,Mean,Q3,Max
normal_pz_s2,0.25,0.058120263382757074,0.061440082642025426,0.06245397127687416,0.06241721282667405,0.06339029208770106,0.0674397906664238
normal_pz_s2,0.5,0.016290324768922296,0.02410728695777592,0.02645574845711934,0.026496156219207166,0.028845493873736576,0.03651353752976149
normal_pz_s2,0.75,0.01431084557391188,0.021138381887682214,0.02329299937581706,0.02341569407924979,0.025641853008947772,0.03454489384152912
normal_pz_s2,1.0,0.014130809078774176,0.024740378024518866,0.02729086167048796,0.027331562834905194,0.029789067860696763,0.03960334986085421
normal_pz_s2,1.25,0.023530640001824865,0.03304852618630726,0.03613646893004638,0.03626434177193425,0.03933423778663716,0.05276282312720115
normal_pz_s2,1.5,0.03563725682015535,0.05210613366931087,0.056231091796588674,0.056283643051200184,0.060201860639230234,0.08141311270718418
normal_pz_s2,2.0,0.10554253602210245,0.13293176869225704,0.1405602807925384,0.14047095272740154,0.1478442213572059,0.1711100159330653
normal_pz_s2,2.5,0.19273574343961294,0.24360043522800917,0.2605154334332056,0.25887291698182724,0.27205364553217526,0.3166915955464677
normal_pz_s2,3.0,0.2681024789410421,0.3030258041075414,0.31499211822777884,0.314326936806841,0.32452308218500137,0.368371224087058
normal_pz_s2,20.0,0.04717417710863777,0.05312711786949294,0.054129221095274155,0.054120582700759645,0.055150066033119276,0.060555769837954014
normal_tz_s3,0.25,0.08706367469280073,0.09035101771721028,0.0911217521722322,0.09113443361550969,0.09193110175054753,0.0944312708209107
normal_tz_s3,0.5,0.01975260302676363,0.02642306685644151,0.028489101238931634,0.028436706465446288,0.030312784025794626,0.038555493503457015
normal_tz_s3,0.75,0.019648387756792604,0.02741993780107447,0.029972222048098227,0.029958532538608515,0.03239167741633279,0.041880814615450346
normal_tz_s3,1.0,0.026965494747846014,0.03833839974160696,0.04177052455009789,0.04182999878314988,0.04522419375740051,0.05631270464935909
normal_tz_s3,1.25,0.04114564038358291,0.053095494961967124,0.05807711905059127,0.058016069122843884,0.062438597942273535,0.07681904233215363
normal_tz_s3,1.5,0.06142461260275603,0.08201441327160638,0.08847930352070174,0.09004556409307465,0.09961572325779332,0.12003593166522458
normal_tz_s3,2.0,0.15629684579031944,0.1859417418216992,0.1937810004641465,0.19506596818948074,0.2020690301638757,0.23799953783600722
normal_tz_s3,2.5,0.16637443907550942,0.19603671705767212,0.20404440252308076,0.20350400000739186,0.21153814879239266,0.2433871433064754
normal_tz_s3,3.0,0.14887539790896406,0.17851482695460266,0.18512469155288186,0.18562100991559244,0.19212163796441212,0.22625611083114125
normal_tz_s3,20.0,0.07191305730963574,0.0756600763970358,0.07637290674737604,0.07638771726890208,0.07707982726106155,0.08142062876779228
tumor_pz_s1,0.25,0.17611098146887497,0.18270848331071612,0.18432680853300093,0.18434090801583644,0.18602163447848066,0.19263020934174477
tumor_pz_s1,0.5,0.016327673451049823,0.030295293919794096,0.034006000699245295,0.03398500268657424,0.037709073974858606,0.052120752403279035
tumor_pz_s1,0.75,0.012091611761031799,0.02898956070106702,0.032821666774506174,0.0330213206592212,0.036885116468805094,0.05459325040580441
tumor_pz_s1,1.0,0.020739341540930874,0.04014918973582722,0.04528863879083858,0.04632739190357128,0.051578631038815714,0.08246494030927928
tumor_pz_s1,1.25,0.03718245354969362,0.06318804356187005,0.07019746920858336,0.07069188844110269,0.07854118910768591,0.1072548399652038
tumor_pz_s1,1.5,0.08883639653239711,0.12309094217982379,0.13248266316608284,0.13199887678894937,0.14067815219929924,0.17681931307813015
tumor_pz_s1,2.0,0.11516539998212055,0.15621062003601713,0.17047567696501875,0.1697584949303928,0.18330039735744058,0.23630706073536903
tumor_pz_s1,2.5,0.10533404189500473,0.1401456381278128,0.15328813408512065,0.15439221705219913,0.1690110208434828,0.20752794646713066
tumor_pz_s1,3.0,0.07424814350180722,0.10951367165523146,0.1190122568616157,0.12057239470136571,0.1318705740506748,0.16620980609428454
tumor_pz_s1,20.0,0.046659574483397095,0.05338465699195437,0.05495009752807514,0.05491150482078726,0.056454214951844627,0.06285836275699798
tumor_tz_s1,0.25,0.26034410449157885,0.27057755459428473,0.27365189889130725,0.2734709789408569,0.27655133642936763,0.28496230480824214
tumor_tz_s1,0.5,0.01013627814818156,0.032824102069905006,0.04099593920404587,0.04122492101662562,0.04905666925418044,0.07286835758510501
tumor_tz_s1,0.75,0.017317453213664263,0.035923337591621994,0.04215399223471107,0.04303731504245146,0.04908228629904993,0.07795574194155605
tumor_tz_s1,1.0,0.02587319799766199,0.05030322946014932,0.05919493484078973,0.05942484108728851,0.06819123298098909,0.10281941220425478
tumor_tz_s1,1.25,0.05138612795429165,0.08611831802825948,0.0970793360226836,0.09698520226538916,0.10809712976128176,0.1475610071009851
tumor_tz_s1,1.5,0.0490063670409987,0.09220948263060028,0.10368111093698121,0.10466153775405981,0.1169677233788259,0.15927630977137458
tumor_tz_s1,2.0,0.06629344363669629,0.11883624998842561,0.13086834093131647,0.131762045438177,0.14399873213657738,0.19526172849330703
tumor_tz_s1,2.5,0.022205478634615167,0.07396446478520441,0.09001525715396298,0.0897129845067914,0.10482291875576567,0.1569492052360144
tumor_tz_s1,3.0,0.033568556727057684,0.0680666163995389,0.0790225344955999,0.08001236655992423,0.09126020074827734,0.1366288709725035
tumor_tz_s1,20.0,0.06769246853392683,0.07769313603028018,0.07964996696078203,0.07970780738843579,0.08167931101785661,0.09102025672261771
Neglected!,0.25,0.05409949115358437,0.06149543522194221,0.06305752493659081,0.06305578955062784,0.06466582882398936,0.07099935242172807
Neglected!,0.5,0.00281167562308655,0.012178796271304578,0.015060893419221013,0.015313528101263003,0.01822736467608633,0.03333444551283637
Neglected!,0.75,0.002807100432549308,0.012054628217698954,0.015322517782470582,0.015617898634745124,0.018935077354898914,0.03378659139441536
Neglected!,1.0,0.0042631772219885,0.015836521917654764,0.02004229278939501,0.021020249782855036,0.02534615855946948,0.05112099127016803
Neglected!,1.25,0.007588261500557815,0.027348717861688212,0.033944246239001816,0.03447222672316273,0.04093186462558897,0.08204175820124901
Neglected!,1.5,0.020327014746667073,0.05957269252850619,0.07461217756552349,0.07613851877977239,0.09248988705606696,0.14491097401887856
Neglected!,2.0,0.14807914603308883,0.223508119204784,0.25034790974466037,0.2507847195638541,0.27460392490484187,0.3632680050632584
Neglected!,2.5,0.14492180227922055,0.21902975481588557,0.24063773795817056,0.24065413346120978,0.26258023912574663,0.367635780442023
Neglected!,3.0,0.17158430086918328,0.23764389633076805,0.25242402446586243,0.2513290732815289,0.2657673073696447,0.3226929649321875
Neglected!,20.0,0.022991417381156516,0.030014419534565146,0.031577632508263564,0.031613862120981065,0.033199178920586714,0.04067136695141403
