Model,Parameters,B-Values,Comparison,AUC,P-Value,GS ≤ 6 Count,GS 3+4 Count,GS 4+3 Count,GS ≥ 8 Count,GS ≤ 7 Count
Gibbs Sampler,.25,0-3500,GS ≤ 6 vs GS 3+4,0.5454545454545454,0.6616755148142046,11.0,11.0,,,
Gibbs Sampler,.50,0-3500,GS ≤ 6 vs GS 3+4,0.743801652892562,0.4633458525604387,11.0,11.0,,,
Gibbs Sampler,.75,0-3500,GS ≤ 6 vs GS 3+4,0.7768595041322314,0.1337419973871972,11.0,11.0,,,
Gibbs Sampler,1.,0-3500,GS ≤ 6 vs GS 3+4,0.7355371900826446,0.05289424066369803,11.0,11.0,,,
Gibbs Sampler,1.25,0-3500,GS ≤ 6 vs GS 3+4,0.5289256198347108,0.7715836201991558,11.0,11.0,,,
Gibbs Sampler,1.50,0-3500,GS ≤ 6 vs GS 3+4,0.5371900826446281,0.7506377202355192,11.0,11.0,,,
Gibbs Sampler,2.,0-3500,GS ≤ 6 vs GS 3+4,0.3305785123966942,0.168515440207422,11.0,11.0,,,
Gibbs Sampler,2.50,0-3500,GS ≤ 6 vs GS 3+4,0.4462809917355372,0.4819557886248298,11.0,11.0,,,
Gibbs Sampler,3.,0-3500,GS ≤ 6 vs GS 3+4,0.47107438016528924,0.6287038166007697,11.0,11.0,,,
Gibbs Sampler,20.,0-3500,GS ≤ 6 vs GS 3+4,0.5785123966942148,0.5716824414201434,11.0,11.0,,,
Monoexponential,ADC,0-3500,GS ≤ 6 vs GS 3+4,0.371900826446281,0.2504736583604374,11.0,11.0,,,
Gibbs Sampler,.25,0-3500,GS ≤ 6 vs GS 4+3,0.8181818181818181,0.03345461898074087,11.0,,5.0,,
Gibbs Sampler,.50,0-3500,GS ≤ 6 vs GS 4+3,0.5272727272727273,0.7513316865481534,11.0,,5.0,,
Gibbs Sampler,.75,0-3500,GS ≤ 6 vs GS 4+3,0.5999999999999999,0.6479789119465404,11.0,,5.0,,
Gibbs Sampler,1.,0-3500,GS ≤ 6 vs GS 4+3,0.4909090909090909,0.6190693175299684,11.0,,5.0,,
Gibbs Sampler,1.25,0-3500,GS ≤ 6 vs GS 4+3,0.3090909090909091,0.4044083365914326,11.0,,5.0,,
Gibbs Sampler,1.50,0-3500,GS ≤ 6 vs GS 4+3,0.45454545454545453,0.8871788972937065,11.0,,5.0,,
Gibbs Sampler,2.,0-3500,GS ≤ 6 vs GS 4+3,0.2545454545454546,0.19649819239323707,11.0,,5.0,,
Gibbs Sampler,2.50,0-3500,GS ≤ 6 vs GS 4+3,0.3090909090909091,0.29141939613077283,11.0,,5.0,,
Gibbs Sampler,3.,0-3500,GS ≤ 6 vs GS 4+3,0.43636363636363634,0.7316525131124341,11.0,,5.0,,
Gibbs Sampler,20.,0-3500,GS ≤ 6 vs GS 4+3,0.2909090909090909,0.21354829211617632,11.0,,5.0,,
Monoexponential,ADC,0-3500,GS ≤ 6 vs GS 4+3,0.2181818181818182,0.07203792780092438,11.0,,5.0,,
Gibbs Sampler,.25,0-3500,GS ≤ 6 vs GS ≥ 8,0.9090909090909092,0.001883792737649554,11.0,,,4.0,
