estimator,zone,C,r_pearson_tumor,r_spearman_tumor,r_pearson_normal,r_spearman_normal,lr_coefs,sens_tumor,sens_normal
MAP_lam=0.0001,PZ,1.0,-0.8528801925415606,-0.9047619047619048,-0.8500193600989225,-0.880952380952381,"[1.5036690547779519, 0.8286573908908602, 0.9117495014109441, 0.18075754460572724, -0.21626151195977483, 0.46202514773798986, -1.3593591903383393, -0.2609176682207329]","[-1.5074275158544204, -0.9502591681553874, -0.5143880261426759, -0.17392235552637914, 0.2979026672678131, 0.5813935655951674, 0.8440477204829655, 0.8039788906111234]","[-3.3179245189618456, -2.3684961682257644, -1.6240205323114765, -1.0407434917425462, -0.2275603118007119, 0.2671410325105761, 0.7405678997507437, 0.8046609073808497]"
MAP_lam=0.0001,TZ,1.0,-0.8008377546433908,-0.7380952380952381,-0.792001222493957,-0.6666666666666669,"[1.775483088271596, 0.01228963406346635, 0.5327104257563056, -0.1274058541847092, 0.03679789662101682, -0.11465175659942783, -1.2325629530954183, -0.07311443076257897]","[-1.1466742993060386, -0.666977731000884, -0.2921067341499217, 0.00031771434372274143, 0.40449017943533505, 0.6459968966776586, 0.8664930772983581, 0.8038719055747379]","[-2.5443150820225746, -1.7607758251281247, -1.1468698344629935, -0.6663881636570501, 0.002097285651814218, 0.4070322619953437, 0.7902824954419962, 0.804470626882825]"
MAP_lam=0.001,PZ,1.0,-0.7545729388321847,-0.7619047619047621,-0.7500467714964896,-0.7142857142857144,"[1.6457232859496498, 0.07818965809582705, 0.9503450872736695, 0.07284968639099244, -0.4053942331412573, 0.4653603203754903, -1.0397248764570965, -0.1306378852030046]","[-1.680950439284512, -1.0856853182072967, -0.6198425070813585, -0.2558004284747284, 0.24914070059001148, 0.5530702412692712, 0.8359585343575837, 0.8040805854658828]","[-3.4520425615447436, -2.473312924009541, -1.7058220109933409, -1.10446735721359, -0.26593722025181066, 0.24438301948537244, 0.733291019512361, 0.8047138665046027]"
MAP_lam=0.001,TZ,1.0,-0.860731572377855,-0.8333333333333335,-0.854022350505345,-0.7857142857142858,"[1.5412165777766684, -0.042951875493977734, 0.30330612390191636, 0.16123544766284645, 0.03033800740769784, -0.5859357598225182, -1.0499267434625694, -0.321304263132038]","[-1.1771140615435272, -0.6905179715221976, -0.31022437860128704, -0.013540763350583518, 0.3965941787686944, 0.6417531593538861, 0.8657916547849531, 0.8039032333351237]","[-2.6871760326918626, -1.8725624080739856, -1.2342200948300963, -0.7345214771192765, -0.039042594250915386, 0.38257006166109164, 0.7824159753022641, 0.8045288175329013]"
MAP_lam=0.01,PZ,1.0,-0.9659879276872976,-0.9761904761904763,-0.9639191394310743,-0.9523809523809524,"[1.0668196898270053, 0.2672070383622166, 0.3750948466649677, 0.17316774336747776, -0.26919324350210183, -0.43140699666506943, -0.7812045487682104, -0.4992826262173928]","[-1.715974582727764, -1.1124912502613604, -0.6402088949619689, -0.2711265640886751, 0.24082695715410551, 0.5490034828503632, 0.8359077477382293, 0.8041288725157969]","[-3.3330308023571398, -2.378184765037261, -1.629589593361569, -1.0432025649653731, -0.22597532956414312, 0.2708587999467049, 0.7456194407295946, 0.8047639824826369]"
MAP_lam=0.01,TZ,1.0,-0.947116004010498,-0.9523809523809524,-0.9441747471537467,-0.9047619047619048,"[1.1789479864533765, 0.3443369035530752, 0.1346525798509948, 0.25731412430943695, -0.11386702314241735, -0.637787512506605, -1.1055121542852122, -0.5725529110128683]","[-1.1726024140323865, -0.6866755828482951, -0.30691953339712086, -0.010670498806764073, 0.39881990269607925, 0.6435368405788289, 0.8670265355803508, 0.8039193755027263]","[-2.6658688850478285, -1.8548356536651767, -1.2193699951845716, -0.7219912012979002, -0.029919064779004856, 0.38941680865267614, 0.7866132222300593, 0.8045715439775059]"
MAP_lam=0.05,PZ,1.0,-0.9804140312080079,-0.9761904761904763,-0.9846938733848992,-1.0,"[0.7622585072363426, 0.5968402480486945, 0.34163424755354227, 0.04306660005131772, -0.2949920833084879, -0.3772979180984172, -0.5647481767070804, -0.822384548286593]","[-1.6398844023268744, -1.0515178002790115, -0.5912118060980021, -0.2316305689076259, 0.2667670685330137, 0.5663280416201566, 0.8441324754926427, 0.8041653990553677]","[-3.3066730121267263, -2.3543357096422746, -1.6078923786788657, -1.0233677576132472, -0.20919850684197883, 0.28522852134615917, 0.7564251386349419, 0.8049136611920638]"
MAP_lam=0.05,TZ,1.0,-0.9727977715333782,-0.9761904761904763,-0.969418557904805,-0.9285714285714287,"[0.7508141207706267, 0.5867953923273421, 0.4531597948195274, 0.01945403449943866, -0.4303668857529949, -0.6338945678739647, -0.8727809910646153, -0.5268267346032698]","[-1.134805864175803, -0.6564040036882712, -0.28261372573501475, 0.00889965241279711, 0.4116286389488355, 0.6520460532632999, 0.8709979452647953, 0.8039346657340296]","[-2.5330185577177033, -1.7486142262845839, -1.13421298321148, -0.6535176295385803, 0.014811801618552778, 0.41911630806135136, 0.800534541274267, 0.8046310616238728]"
MAP_lam=0.1,PZ,1.0,-0.9787561398688822,-0.9761904761904763,-0.9819549896470192,-1.0,"[0.709868068455315, 0.5459874474831581, 0.395548779088836, 0.06527118527795245, -0.35561567926878834, -0.43890034986343845, -0.5529750818530551, -0.760851298916924]","[-1.5924957330848422, -1.0138262450554159, -0.5611862780052768, -0.20767088958484337, 0.28211308691794557, 0.5762471724524154, 0.8484252562279693, 0.804173788031548]","[-3.150848424358088, -2.2309232588635375, -1.510039276397812, -0.9456843131583348, -0.1600333665319198, 0.3165480313915836, 0.7694580491168779, 0.8049285978262155]"
MAP_lam=0.1,TZ,1.0,-0.931330205448606,-0.9285714285714287,-0.926532485795394,-0.9285714285714287,"[0.6193033697309607, 0.6179048665604973, 0.6048857910176606, -0.021032836511674726, -0.500523437936143, -0.6586530881725824, -0.8143773154960303, -0.4161631674096429]","[-1.1129728304970499, -0.6392063752214128, -0.26907573337231483, 0.019547456578949962, 0.4181893587140717, 0.6560547601386357, 0.8724201454146652, 0.8039280918170633]","[-2.4418735892295373, -1.676419168052945, -1.0769700349388955, -0.6080806201058664, 0.043543012695490546, 0.43738364750689485, 0.8080709193558633, 0.8046368126146675]"
