task,zone,n,variant,auc,ci_lo,ci_hi,spearman_rho,spearman_p,partial_rho_mu050,partial_p_mu050,delong_p_vs_std
detection,pz,81,adc,0.9403292181069959,0.866448976426799,0.9904369825760492,,,,,
detection,pz,81,adc_std,0.9403292181069959,0.869684499314129,0.9912437868764528,,,,,
detection,pz,81,adc_ext1500,0.9307270233196159,0.8613027502642122,0.9845948841236746,,,,,
detection,pz,81,adc_ext2000,0.9279835390946501,0.8478174374351286,0.9857153566074106,,,,,
detection,pz,81,adc_full,0.8909465020576132,0.7889036387341473,0.9685892857142856,,,,,
detection,pz,81,adc_high,0.8072702331961591,0.677880026912646,0.9110534472034147,,,,,
detection,pz,81,adc_midrange,0.9211248285322359,0.8401872427983539,0.9790976390556222,,,,,
detection,pz,81,adc_DKI_D,0.9430727023319615,0.8757305764411026,0.9885497530884153,,,,,
detection,pz,81,adc_spec_M1,0.7133058984910836,0.576239406779661,0.8443184695962472,,,,,
detection,pz,81,adc_DKI_K,0.9074074074074074,0.8148148148148149,0.9768875192604006,,,,,
detection,tz,68,adc,0.9636363636363636,0.9020669438226203,1.0,,,,,
detection,tz,68,adc_std,0.9636363636363636,0.8982668821839082,1.0,,,,,
detection,tz,68,adc_ext1500,0.9482517482517483,0.8662834860649312,1.0,,,,,
detection,tz,68,adc_ext2000,0.9538461538461538,0.8861845912707982,0.9939918154761904,,,,,
detection,tz,68,adc_full,0.9328671328671329,0.8452278325123153,0.9943571168215781,,,,,
detection,tz,68,adc_high,0.8769230769230769,0.7217249937562438,0.9937574404761904,,,,,
detection,tz,68,adc_midrange,0.9384615384615385,0.8497420400943396,1.0,,,,,
detection,tz,68,adc_DKI_D,0.9706293706293706,0.9124945175438597,1.0,,,,,
detection,tz,68,adc_spec_M1,0.6335664335664336,0.4098248922413793,0.8414385775862065,,,,,
detection,tz,68,adc_DKI_K,0.9398601398601399,0.8573315047021943,0.9958049242424242,,,,,
grading_binary,pooled,29,adc,0.7777777777777778,0.5454051383399209,0.9595959595959596,-0.5462518568421153,0.0021722968528588306,0.42031561278144974,0.025947260407141348,
grading_binary,pooled,29,adc_std,0.7777777777777778,0.5387301587301587,0.9523809523809523,-0.5462518568421153,0.0021722968528588306,0.42031561278144974,0.025947260407141348,
grading_binary,pooled,29,adc_ext1500,0.7611111111111111,0.5333333333333333,0.9445112179487175,-0.525521236089094,0.0034161083041982653,0.47824249270497265,0.010047881948495485,0.7277235466695493
grading_binary,pooled,29,adc_ext2000,0.7555555555555555,0.514455110107284,0.9404936974789915,-0.4690302945371104,0.0102691227975483,0.4944806327304406,0.00747722877202861,0.6753626471338281
grading_binary,pooled,29,adc_full,0.7777777777777778,0.5618181818181818,0.9555555555555556,-0.45840585140118695,0.012386922763033346,0.5419190798385964,0.0028948115424467513,1.0
grading_binary,pooled,29,adc_high,0.7666666666666666,0.5526144907723854,0.935064935064935,-0.4376752306481655,0.0175745996056194,0.629530867051894,0.00033163086948628795,0.8897761945519829
grading_binary,pooled,29,adc_midrange,0.7611111111111111,0.5454292929292929,0.9600196078431371,-0.49598010151603833,0.006214144450774734,0.49503294991295776,0.00740061731486108,0.7655944839957636
grading_binary,pooled,29,adc_DKI_D,0.75,0.5210526315789474,0.9404761904761905,-0.5553215034215622,0.0017656363789126355,0.40218109348413345,0.03386830092011062,0.19690188900420358
grading_binary,pooled,29,adc_spec_M1,0.6944444444444444,0.4894590643274854,0.8778070175438595,-0.4086523615939355,0.027738122246065658,0.4874253239716084,0.008516192881207196,0.4544691314718903
grading_binary,pooled,29,adc_DKI_K,0.7777777777777778,0.5368268497330282,0.9583333333333334,0.47550861352242957,0.00913360222629823,0.5009214933736924,0.00662414038147241,1.0
