task,method,C,auc,auc_lo,auc_hi,n
PZ,ADC (raw rank),-,0.9506172839506173,0.8932884127799382,0.9950020491803279,81
PZ,MAP D=0.25,-,0.8861454046639231,0.7877854658197216,0.9678902982610608,81
PZ,MAP D=0.50,-,0.5967078189300412,0.4748097642355293,0.7179752031783436,81
PZ,MAP D=0.75,-,0.6673525377229081,0.5499758064516128,0.784110346266166,81
PZ,MAP D=1.00,-,0.7798353909465021,0.6557967980295566,0.891924426020408,81
PZ,MAP D=1.50,-,0.7688614540466392,0.6542383107088989,0.868533141386915,81
PZ,MAP D=2.00,-,0.6639231824417009,0.5262114661654135,0.8024731968810916,81
PZ,MAP D=3.00,-,0.9242112482853223,0.8587425037481259,0.9742889515455305,81
PZ,MAP D=20.00,-,0.5555555555555555,0.40857078603555375,0.6998062668463612,81
PZ,NUTS D=0.25,-,0.8799725651577504,0.7833214285714286,0.9640581232492996,81
PZ,NUTS D=0.50,-,0.7962962962962963,0.6936133648861843,0.8867530100210996,81
PZ,NUTS D=0.75,-,0.8079561042524005,0.7086402116402116,0.8993678388307965,81
PZ,NUTS D=1.00,-,0.8285322359396433,0.7304522275899088,0.9184461659030624,81
PZ,NUTS D=1.50,-,0.8333333333333333,0.7297690534547152,0.9230769230769231,81
PZ,NUTS D=2.00,-,0.5871056241426611,0.45417823222383846,0.7049674957603163,81
PZ,NUTS D=3.00,-,0.921124828532236,0.8503134834180586,0.9738586438363224,81
PZ,NUTS D=20.00,-,0.5185185185185186,0.37294114213385116,0.6622463343108503,81
PZ,ADC (LR),0.1,0.9403292181069959,0.8798038496343582,0.9907142857142857,81
PZ,MAP Full LR,0.1,0.9231824417009602,0.8503942048517519,0.9801097393689987,81
PZ,NUTS Full LR,0.1,0.9211248285322359,0.8503409090909091,0.976683135758806,81
PZ,"MAP 2-feat {0.25,3.0}",0.1,0.9314128943758573,0.8674567180695367,0.9810510921010084,81
PZ,"NUTS 2-feat {0.25,3.0}",0.1,0.934156378600823,0.8648608903020667,0.9838720956462892,81
PZ,MAP 5-inner,0.1,0.8196159122085048,0.7118974654377881,0.9166748366013072,81
PZ,NUTS 5-inner,0.1,0.821673525377229,0.7203170262082473,0.9108260233918128,81
PZ,MAP 4-poorly-id (CV>0.7),0.1,0.8264746227709191,0.7276431455414685,0.915719820384294,81
PZ,NUTS 4-poorly-id (CV>0.7),0.1,0.8203017832647462,0.7128504804974561,0.9144619604533397,81
PZ,ADC (LR),1.0,0.9403292181069959,0.8777619047619047,0.9914306330341984,81
PZ,MAP Full LR,1.0,0.9170096021947874,0.8358579233110719,0.9846162280701755,81
