block,feature_set,n_features,feature_cols,zone,C,n,auc,auc_ci_lo,auc_ci_hi,ref_auc,delta_vs_ref,ci_strictly_above_ref,ci_strictly_below_ref,candidate_revision
A_mu,mu{0.25},1,nuts_D_0.25,pz,0.1,81,0.8799725651577504,0.7718479028029844,0.9595862614514845,0.934156378600823,-0.05418381344307266,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,pz,1.0,81,0.8799725651577504,0.7870221923470514,0.9661803713527851,0.9327846364883402,-0.05281207133058985,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,pz,10.0,81,0.8799725651577504,0.7706051552413093,0.9599999999999999,0.9286694101508915,-0.0486968449931412,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,tz,0.1,68,0.9076923076923077,0.7832327586206896,0.9965545977011494,0.937062937062937,-0.029370629370629286,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,tz,1.0,68,0.9076923076923077,0.7830780444884063,0.9952153110047847,0.9370629370629371,-0.029370629370629397,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,tz,10.0,68,0.9076923076923077,0.7894571218255428,0.9944131794131794,0.9272727272727272,-0.01958041958041956,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,pooled,0.1,149,0.8688073394495412,0.7897854327541828,0.9404394114509246,0.9011467889908257,-0.032339449541284426,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,pooled,1.0,149,0.8688073394495412,0.7813502788502789,0.9408581880982393,0.8986238532110091,-0.029816513761467878,False,False,False
A_mu,mu{0.25},1,nuts_D_0.25,pooled,10.0,149,0.8688073394495412,0.7762489598588737,0.9436971486533433,0.8963302752293578,-0.02752293577981657,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pz,0.1,81,0.7962962962962963,0.6933646230367907,0.8867156194629958,0.934156378600823,-0.13786008230452673,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pz,1.0,81,0.7962962962962963,0.6926118671433513,0.8888564489179939,0.9327846364883402,-0.13648834019204392,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pz,10.0,81,0.7962962962962963,0.6852977211467778,0.8888980990274095,0.9286694101508915,-0.13237311385459527,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,tz,0.1,68,0.8531468531468532,0.725783455207487,0.9524593391542545,0.937062937062937,-0.08391608391608374,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,tz,1.0,68,0.8531468531468532,0.7051004464285714,0.9548078647654918,0.9370629370629371,-0.08391608391608385,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,tz,10.0,68,0.8531468531468532,0.715630324634562,0.9566907753750243,0.9272727272727272,-0.07412587412587401,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pooled,0.1,149,0.7802752293577981,0.6880609046126288,0.8588775999972276,0.9011467889908257,-0.12087155963302754,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pooled,1.0,149,0.7802752293577981,0.6990118028431285,0.8528013022420918,0.8986238532110091,-0.11834862385321099,False,False,False
A_mu,mu{0.50},1,nuts_D_0.50,pooled,10.0,149,0.7802752293577981,0.6913391433128275,0.8634164698937425,0.8963302752293578,-0.11605504587155968,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pz,0.1,81,0.8079561042524005,0.704711142430223,0.9029285153605588,0.934156378600823,-0.12620027434842251,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pz,1.0,81,0.8079561042524005,0.7095154810895551,0.8993002456287554,0.9327846364883402,-0.1248285322359397,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pz,10.0,81,0.8079561042524005,0.6977639832107149,0.9007293233082706,0.9286694101508915,-0.12071330589849105,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,tz,0.1,68,0.8461538461538463,0.713772349936143,0.9538804945054944,0.937062937062937,-0.09090909090909072,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,tz,1.0,68,0.8461538461538463,0.7050985475541908,0.9580492424242424,0.9370629370629371,-0.09090909090909083,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,tz,10.0,68,0.8461538461538463,0.719942542989418,0.9464285714285713,0.9272727272727272,-0.08111888111888099,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pooled,0.1,149,0.7855504587155963,0.7066644682897426,0.8626099454717876,0.9011467889908257,-0.11559633027522942,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pooled,1.0,149,0.7855504587155963,0.7040500321750323,0.8626588679111615,0.8986238532110091,-0.11307339449541287,False,False,False
A_mu,mu{0.75},1,nuts_D_0.75,pooled,10.0,149,0.7855504587155963,0.7008517268201833,0.8645136541093132,0.8963302752293578,-0.11077981651376156,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pz,0.1,81,0.8285322359396433,0.7300681818181818,0.9214438316556007,0.934156378600823,-0.1056241426611797,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pz,1.0,81,0.8285322359396433,0.7263684258693698,0.9198186998186997,0.9327846364883402,-0.10425240054869689,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pz,10.0,81,0.8285322359396433,0.7225697004608295,0.9162367724867725,0.9286694101508915,-0.10013717421124824,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,tz,0.1,68,0.8307692307692308,0.6904538690476191,0.9414561805086951,0.937062937062937,-0.10629370629370616,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,tz,1.0,68,0.8307692307692308,0.7067007211538461,0.939664369804717,0.9370629370629371,-0.10629370629370627,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,tz,10.0,68,0.8307692307692308,0.6943087182823683,0.939743514554376,0.9272727272727272,-0.09650349650349643,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pooled,0.1,149,0.7903669724770642,0.703104879566904,0.8671174802209284,0.9011467889908257,-0.11077981651376145,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pooled,1.0,149,0.7903669724770642,0.7047126693354837,0.865516025615,0.8986238532110091,-0.1082568807339449,False,False,False
A_mu,mu{1.00},1,nuts_D_1.00,pooled,10.0,149,0.7903669724770642,0.7034085424710426,0.8672296123829062,0.8963302752293578,-0.1059633027522936,False,False,False
A_mu,mu{1.50},1,nuts_D_1.50,pz,0.1,81,0.8333333333333333,0.7281037151702786,0.9250196776611693,0.934156378600823,-0.10082304526748975,False,False,False
A_mu,mu{1.50},1,nuts_D_1.50,pz,1.0,81,0.8333333333333333,0.7347249976763639,0.9206581590531036,0.9327846364883402,-0.09945130315500694,False,False,False
A_mu,mu{1.50},1,nuts_D_1.50,pz,10.0,81,0.8333333333333333,0.7253900935374149,0.9184794751442441,0.9286694101508915,-0.09533607681755829,False,False,False
A_mu,mu{1.50},1,nuts_D_1.50,tz,0.1,68,0.5454545454545454,0.3703418803418803,0.7195932539682539,0.937062937062937,-0.39160839160839156,False,True,False
A_mu,mu{1.50},1,nuts_D_1.50,tz,1.0,68,0.5454545454545454,0.3559150171862036,0.7394221230158731,0.9370629370629371,-0.39160839160839167,False,True,False
A_mu,mu{1.50},1,nuts_D_1.50,tz,10.0,68,0.5454545454545454,0.3685327443346311,0.7320749463784854,0.9272727272727272,-0.38181818181818183,False,True,False
A_mu,mu{1.50},1,nuts_D_1.50,pooled,0.1,149,0.7073394495412844,0.6160763609546795,0.7995214903655324,0.9011467889908257,-0.19380733944954132,False,True,False
A_mu,mu{1.50},1,nuts_D_1.50,pooled,1.0,149,0.7073394495412844,0.6086017164055778,0.7949423819459432,0.8986238532110091,-0.19128440366972477,False,True,False
