task,n,n_pos,feature_set,classifier,auc,ci_lo,ci_hi
PZ,81,27,ADC (raw),raw,0.9506172839506173,0.886679933059786,0.9947562570755439
PZ,81,27,NUTS 8-bin,LR,0.9259259259259258,0.8423020352259731,0.9821001142341003
PZ,81,27,NUTS 8-bin,RF,0.9362139917695473,0.8696449711729826,0.9834350301791804
PZ,81,27,NUTS 8-bin,GBM,0.9026063100137174,0.7777595029239766,0.9900616692682466
PZ,81,27,NUTS 8-bin,SVM-RBF,0.890946502057613,0.7916118421052633,0.9636220131174305
PZ,81,27,"NUTS 2-bin {0.25, 3.00}",LR,0.9327846364883402,0.8580245024706469,0.9832219074029419
PZ,81,27,"NUTS 2-bin {0.25, 3.00}",RF,0.9050068587105625,0.8035662071846282,0.975090563634414
PZ,81,27,"NUTS 2-bin {0.25, 3.00}",GBM,0.8710562414266119,0.7474715657905313,0.9647724150054353
PZ,81,27,"NUTS 2-bin {0.25, 3.00}",SVM-RBF,0.9224965706447188,0.820888822434875,0.9843221104231167
TZ,68,13,ADC (raw),raw,0.979020979020979,0.9375,1.0
TZ,68,13,NUTS 8-bin,LR,0.9230769230769231,0.7975074404761905,1.0
TZ,68,13,NUTS 8-bin,RF,0.8685314685314685,0.6921422875370244,0.9904344515629082
TZ,68,13,NUTS 8-bin,GBM,0.7650349650349652,0.5309862653419053,0.967319556753519
TZ,68,13,NUTS 8-bin,SVM-RBF,0.8923076923076924,0.7102867965367966,0.9986032948532948
TZ,68,13,"NUTS 2-bin {0.25, 3.00}",LR,0.9370629370629371,0.8451996468443836,0.9919386840757809
TZ,68,13,"NUTS 2-bin {0.25, 3.00}",RF,0.9146853146853148,0.8124699519230769,0.9899482946298984
TZ,68,13,"NUTS 2-bin {0.25, 3.00}",GBM,0.8769230769230769,0.7681372549019609,0.9642931547619048
TZ,68,13,"NUTS 2-bin {0.25, 3.00}",SVM-RBF,0.827972027972028,0.6010833333333334,0.9924750787701
GGG,29,9,ADC (raw),raw,0.8111111111111111,0.5942028985507247,0.972267316017316
GGG,29,9,NUTS 8-bin,LR,0.7722222222222223,0.5389485514485515,0.9610407647907647
GGG,29,9,NUTS 8-bin,RF,0.65,0.37681159420289856,0.883422619047619
GGG,29,9,NUTS 8-bin,GBM,0.4444444444444444,0.15217391304347824,0.75
GGG,29,9,NUTS 8-bin,SVM-RBF,0.7277777777777777,0.4347463768115942,0.9740503246753246
GGG,29,9,"NUTS 2-bin {0.25, 3.00}",LR,0.7444444444444444,0.4714182194616977,0.9948684210526314
GGG,29,9,"NUTS 2-bin {0.25, 3.00}",RF,0.6444444444444445,0.36,0.8947710184552291
GGG,29,9,"NUTS 2-bin {0.25, 3.00}",GBM,0.5666666666666667,0.28932017543859645,0.8201730769230768
GGG,29,9,"NUTS 2-bin {0.25, 3.00}",SVM-RBF,0.6166666666666668,0.2986055611055611,0.915811403508772
