zone,n,n_pos,n_neg,model,k_features,features,auc,auc_ci_lo,auc_ci_hi,delong_z,delong_p,delta_auc
pooled,29,9,20,ADC,1,adc,0.7777777777777778,0.5384057971014493,0.9611111111111111,,,
pooled,29,9,20,ADC + μ_D=0.50,2,"adc,nuts_D_0.50",0.7388888888888889,0.5,0.9222321428571428,-1.3710793767115754,0.17035021313202336,-0.03888888888888886
pooled,29,9,20,ADC + μ_D=0.50 + μ_D=2.00,3,"adc,nuts_D_0.50,nuts_D_2.00",0.7222222222222222,0.487012987012987,0.9107341269841269,-1.1771138784983846,0.2391500564171467,-0.05555555555555558
pooled,29,9,20,ADC + μ_D=0.50 + σ_D=0.50,3,"adc,nuts_D_0.50,nuts_std_D_0.50",0.7388888888888889,0.5178571428571429,0.925069444444444,-1.1845526724933226,0.23619435886098472,-0.03888888888888886
pooled,29,9,20,ADC + μ_D=0.50 + μ_D=0.25 + μ_D=3.00,4,"adc,nuts_D_0.50,nuts_D_0.25,nuts_D_3.00",0.7666666666666666,0.5287660256410257,0.9421637426900582,-0.16565559602365318,0.8684279923730824,-0.011111111111111072
pooled,29,9,20,μ_D=0.50 alone,1,nuts_D_0.50,0.5944444444444444,0.3774349957374254,0.7948088972431074,-1.3749528875640167,0.16914605118662784,-0.18333333333333335
pooled,29,9,20,8-bin μ NUTS,8,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75,nuts_D_1.00,nuts_D_1.50,nuts_D_2.00,nuts_D_3.00,nuts_D_20.00",0.7722222222222223,0.5361839300937766,0.9631578947368421,-0.06004283530163462,0.9521215185741982,-0.005555555555555536
pz,21,4,17,ADC,1,adc,0.6176470588235294,0.25925925925925924,1.0,,,
pz,21,4,17,ADC + μ_D=0.50,2,"adc,nuts_D_0.50",0.5735294117647058,0.25,0.8823529411764706,-1.1960198895331724,0.23168879751805527,-0.044117647058823595
pz,21,4,17,ADC + μ_D=0.50 + μ_D=2.00,3,"adc,nuts_D_0.50,nuts_D_2.00",0.7352941176470589,0.42105263157894735,1.0,0.8677218312746241,0.38554663157110225,0.11764705882352933
pz,21,4,17,ADC + μ_D=0.50 + σ_D=0.50,3,"adc,nuts_D_0.50,nuts_std_D_0.50",0.5441176470588236,0.21052631578947367,0.877859477124183,-1.8359701840863099,0.0663620664567095,-0.07352941176470584
pz,21,4,17,ADC + μ_D=0.50 + μ_D=0.25 + μ_D=3.00,4,"adc,nuts_D_0.50,nuts_D_0.25,nuts_D_3.00",0.5588235294117647,0.1578947368421053,1.0,-0.3692744729379983,0.7119231506921899,-0.05882352941176472
pz,21,4,17,μ_D=0.50 alone,1,nuts_D_0.50,0.05882352941176472,0.0,0.19999999999999996,-3.261972821336101,0.0011063975076885946,-0.5588235294117647
pz,21,4,17,8-bin μ NUTS,8,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75,nuts_D_1.00,nuts_D_1.50,nuts_D_2.00,nuts_D_3.00,nuts_D_20.00",0.6323529411764706,0.25,1.0,0.07910846118481854,0.936946353555326,0.014705882352941124
tz,8,5,3,ADC,1,adc,0.5333333333333334,0.0,1.0,,,
tz,8,5,3,ADC + μ_D=0.50,2,"adc,nuts_D_0.50",0.2666666666666667,0.0,0.7142857142857143,-1.8856180831641263,0.05934643879192003,-0.26666666666666666
tz,8,5,3,ADC + μ_D=0.50 + μ_D=2.00,3,"adc,nuts_D_0.50,nuts_D_2.00",0.33333333333333337,0.0,0.8,-1.4142135623730954,0.157299207050285,-0.2
tz,8,5,3,ADC + μ_D=0.50 + σ_D=0.50,3,"adc,nuts_D_0.50,nuts_std_D_0.50",0.2666666666666667,0.0,0.6666666666666667,-1.234426799696735,0.21704390775694193,-0.26666666666666666
tz,8,5,3,ADC + μ_D=0.50 + μ_D=0.25 + μ_D=3.00,4,"adc,nuts_D_0.50,nuts_D_0.25,nuts_D_3.00",0.46666666666666673,0.0,1.0,-0.3779644730092274,0.7054569861112732,-0.06666666666666671
tz,8,5,3,μ_D=0.50 alone,1,nuts_D_0.50,0.0,0.0,0.0,-2.2188007849009166,0.026500280602491877,-0.5333333333333333
tz,8,5,3,8-bin μ NUTS,8,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75,nuts_D_1.00,nuts_D_1.50,nuts_D_2.00,nuts_D_3.00,nuts_D_20.00",0.8,0.4,1.0,1.8856180831641267,0.05934643879191981,0.2666666666666666
