group,D=0.25,D=0.5,D=0.75,D=1.0,D=1.5,D=2.0,D=3.0,D=20.0,kind,subset,n,D,spearman_rho,p_value
normal_pooled,0.07121942021546493,0.032753745782396496,0.033577833106457004,0.044654009341236374,0.10596810332641304,0.2630478334760259,0.3861995666561363,0.06257948809586963,group_mean,,,,,
normal_PZ,0.05715753312287837,0.028430410202239888,0.028909393653640873,0.037357948874123866,0.08512802218928675,0.237166728236188,0.4752601594056229,0.0505898043160192,group_mean,,,,,
normal_TZ,0.08502563663364085,0.03699847526109572,0.0381613918419492,0.05181741416349229,0.12642927389740982,0.28845837316604855,0.298758257411186,0.07435117762517733,group_mean,,,,,
pooled_GGG=1,0.16574107345119213,0.03595289358942731,0.03705417844010073,0.05251436352076425,0.14872953886214058,0.2793957767023098,0.21210593136475872,0.0685062440693067,group_mean,,,,,
PZ_GGG=1 (n=7),0.15495659927273578,0.03450105612983467,0.035711634912826175,0.051206240049148546,0.14989356663420486,0.28864274994714595,0.22832018947322533,0.05676796358087888,group_mean,,,,,
TZ_GGG=1 (n=1),0.2412323927003866,0.0461157558065758,0.0464519831310226,0.0616712278220741,0.1405813444576905,0.2146669639884565,0.0986061246054925,0.1506742074883015,group_mean,,,,,
pooled_GGG=2,0.1658816458325237,0.06045810270923013,0.06259882770328871,0.0836487902504177,0.16101781805339407,0.23181098225204624,0.16390938110123526,0.07067445209786355,group_mean,,,,,
PZ_GGG=2 (n=10),0.16988024464484322,0.05745751791612066,0.05748004016648225,0.07453372964325214,0.15726689749056338,0.2510405742054578,0.17363560144170712,0.0587053944915729,group_mean,,,,,
TZ_GGG=2 (n=2),0.14588865177092614,0.0754610266747775,0.088192765387321,0.1292240932862454,0.17977242086754758,0.13566302248498863,0.115278279398876,0.13051974012931675,group_mean,,,,,
pooled_GGG>=3,0.3110512653327484,0.06496897578571566,0.0608456467096276,0.07358985947715946,0.12424490189869547,0.16688044263213467,0.15664328760888915,0.04177562055502931,group_mean,,,,,
PZ_GGG>=3 (n=4),0.2798596260350005,0.05552441754089823,0.052916481328402404,0.0665473502774389,0.12812587144671658,0.16863725098834867,0.1968583042100706,0.051530698173124126,group_mean,,,,,
TZ_GGG>=3 (n=5),0.33600457677094675,0.07252462238156962,0.06718897901460777,0.0792238668369359,0.12114012626027863,0.16547499594716344,0.124471274327944,0.03397155846055346,group_mean,,,,,
,,,,,,,,,spearman_vs_grade,pooled,29.0,0.25,0.4368978323699272,0.017799572406751295
,,,,,,,,,spearman_vs_grade,pooled,29.0,0.5,0.5651685482792473,0.0014004113698141431
,,,,,,,,,spearman_vs_grade,pooled,29.0,0.75,0.51204633259963,0.0045174412501176806
,,,,,,,,,spearman_vs_grade,pooled,29.0,1.0,0.3449057027783945,0.06689762418305885
,,,,,,,,,spearman_vs_grade,pooled,29.0,1.5,-0.2078244730490401,0.27933877496164466
,,,,,,,,,spearman_vs_grade,pooled,29.0,2.0,-0.47395381696595307,0.00939600235375364
,,,,,,,,,spearman_vs_grade,pooled,29.0,3.0,-0.156516186685312,0.41747747745485997
,,,,,,,,,spearman_vs_grade,pooled,29.0,20.0,-0.25006311283332133,0.19077261454082556
,,,,,,,,,spearman_vs_grade,PZ,21.0,0.25,0.31936942112320676,0.15818745386208796
,,,,,,,,,spearman_vs_grade,PZ,21.0,0.5,0.5755668688374276,0.006331075736680991
,,,,,,,,,spearman_vs_grade,PZ,21.0,0.75,0.5306445766354821,0.013329575270078243
,,,,,,,,,spearman_vs_grade,PZ,21.0,1.0,0.26953375321167344,0.23738394800748708
,,,,,,,,,spearman_vs_grade,PZ,21.0,1.5,-0.09195031685085735,0.6918032443254143
,,,,,,,,,spearman_vs_grade,PZ,21.0,2.0,-0.44150190304724635,0.045109013312194884
,,,,,,,,,spearman_vs_grade,PZ,21.0,3.0,-0.08001783298471554,0.7302538437377629
,,,,,,,,,spearman_vs_grade,PZ,21.0,20.0,-0.03649936241408078,0.8751889860741628
,,,,,,,,,spearman_vs_grade,TZ,8.0,0.25,0.5646829085612719,0.1447623093054763
,,,,,,,,,spearman_vs_grade,TZ,8.0,0.5,0.3068928850876477,0.4596851913195994
,,,,,,,,,spearman_vs_grade,TZ,8.0,0.75,-0.036827146210517726,0.9310115084540986
,,,,,,,,,spearman_vs_grade,TZ,8.0,1.0,-0.20868716185960046,0.6199236393861473
,,,,,,,,,spearman_vs_grade,TZ,8.0,1.5,-0.6137857701752955,0.10552589403223339
,,,,,,,,,spearman_vs_grade,TZ,8.0,2.0,-0.15958430024557682,0.7058208200215368
,,,,,,,,,spearman_vs_grade,TZ,8.0,3.0,0.19641144645609457,0.6410902415841975
,,,,,,,,,spearman_vs_grade,TZ,8.0,20.0,-0.7610943550173663,0.02827313252875805
