*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (15:31) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    : 10203/9                                                   
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage    64  (x:094, y:097)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage  70.0              
* IROI(s)            : Normal PZ (Green        )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      16.2 pixel,        17.76 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1    15343.1    18723.0     8775.0     2082.7      207.1     247.71     3800.6 
          2     1178.3     1479.0      652.0      157.5      207.1     247.71      291.9 
          3     1157.6     1694.0      679.0      214.5      207.1     247.71      286.7 
          4     1295.6     1568.0      707.0      155.5      207.1     247.71      320.9 
          5     1369.0     1854.0      753.0      222.9      207.1     247.71      339.1 
          6     1571.4     2044.0      860.0      230.5      207.1     247.71      389.3 
          7     1685.9     2336.0      943.0      256.9      207.1     247.71      417.6 
          8     1856.4     2426.0     1105.0      239.2      207.1     247.71      459.8 
          9     2101.4     2683.0     1300.0      270.1      207.1     247.71      520.5 
         10     2378.6     3139.0     1523.0      330.8      207.1     247.71      589.2 
         11     2858.6     3624.0     1939.0      347.5      207.1     247.71      708.1 
         12     3294.9     4223.0     2075.0      417.3      207.1     247.71      816.2 
         13     4281.2     5596.0     2757.0      608.3      207.1     247.71     1060.5 
         14     5483.8     7096.0     3566.0      761.3      207.1     247.71     1358.4 
         15     7234.9     8797.0     4671.0      926.6      207.1     247.71     1792.1 
         16    10408.8    13261.0     6352.0     1491.7      207.1     247.71     2578.3 
         17     1297.0     1937.0      725.0      299.2      207.1     247.71      321.3 
         18     1329.4     1813.0      538.0      245.5      207.1     247.71      329.3 
         19     1403.5     1921.0      781.0      248.4      207.1     247.71      347.7 
         20     1472.2     2431.0        0.0      476.1      207.1     247.71      364.7 
         21     1741.5     2686.0      915.0      369.3      207.1     247.71      431.4 
         22     1868.1     2743.0     1104.0      368.9      207.1     247.71      462.7 
         23     2055.3     3216.0     1070.0      460.9      207.1     247.71      509.1 
         24     2351.4     3315.0     1410.0      447.4      207.1     247.71      582.5 
         25     2683.3     3843.0     1639.0      526.0      207.1     247.71      664.7 
         26     3108.1     4378.0     1969.0      599.7      207.1     247.71      769.9 
         27     3712.5     5381.0     2319.0      706.9      207.1     247.71      919.6 
         28     4570.1     6245.0     2959.0      768.1      207.1     247.71     1132.0 
         29     5744.4     7830.0     2508.0     1062.7      207.1     247.71     1422.9 
         30     7755.0    10188.0     4634.0     1209.8      207.1     247.71     1921.0 
         31    10663.8    13384.0     6379.0     1489.8      207.1     247.71     2641.5 
         32     1174.3     1583.0      605.0      215.1      207.1     247.71      290.9 
         33     1225.7     1721.0      647.0      227.3      207.1     247.71      303.6 
         34     1368.2     1776.0      717.0      190.6      207.1     247.71      338.9 
         35     1425.4     1839.0      910.0      212.1      207.1     247.71      353.1 
         36     1528.7     1943.0      842.0      241.9      207.1     247.71      378.7 
         37     1696.4     2237.0     1054.0      262.2      207.1     247.71      420.2 
         38     1842.2     2386.0     1070.0      301.2      207.1     247.71      456.3 
         39     2099.0     2813.0     1262.0      364.3      207.1     247.71      519.9 
         40     2409.2     3237.0     1443.0      379.1      207.1     247.71      596.8 
         41     2630.8     3700.0      893.0      630.1      207.1     247.71      651.7 
         42     3390.4     4338.0     1916.0      580.5      207.1     247.71      839.8 
         43     4227.0     5468.0     2247.0      712.9      207.1     247.71     1047.1 
         44     5369.6     7052.0     2904.0      924.7      207.1     247.71     1330.1 
         45     7275.7     8996.0     4417.0     1142.3      207.1     247.71     1802.2 
         46    10298.5    12596.0     5471.0     1553.2      207.1     247.71     2551.0 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     3548.2     4642.2     2043.6      563.7      207.1     247.71      878.9 
*    STDDEV     3132.2     3841.6     1863.0      439.8        0.0       0.00      775.9 
*       MAX    15343.1    18723.0     8775.0     2082.7      207.1     247.71     3800.6 
*       MIN     1157.6     1479.0        0.0      155.5      207.1     247.71      286.7 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
