*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (15:31) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    : 10203/9                                                   
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage    64  (x:094, y:097)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage  70.0              
* IROI(s)            : Tumor TZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      15.4 pixel,        16.85 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1    10478.1    19497.0     3301.0     3176.5      186.4     223.03     2337.0 
          2     1745.8     2284.0      618.0      265.7      186.4     223.03      389.4 
          3     1917.6     2631.0      685.0      342.7      186.4     223.03      427.7 
          4     1955.0     2636.0      780.0      361.9      186.4     223.03      436.0 
          5     2016.4     2770.0      803.0      357.5      186.4     223.03      449.7 
          6     2295.6     2864.0      808.0      334.1      186.4     223.03      512.0 
          7     2449.3     3228.0      987.0      435.9      186.4     223.03      546.3 
          8     2611.9     3527.0      973.0      482.3      186.4     223.03      582.5 
          9     2841.4     3715.0     1251.0      435.3      186.4     223.03      633.7 
         10     3084.3     4095.0     1020.0      551.9      186.4     223.03      687.9 
         11     3423.2     4478.0     1344.0      569.6      186.4     223.03      763.5 
         12     3672.0     4864.0     1232.0      746.9      186.4     223.03      819.0 
         13     4362.1     5804.0     1658.0      810.9      186.4     223.03      972.9 
         14     5088.3     7200.0     1569.0     1072.1      186.4     223.03     1134.9 
         15     5904.0     9124.0     2073.0     1383.6      186.4     223.03     1316.8 
         16     7438.6    12373.0     2546.0     1754.7      186.4     223.03     1659.1 
         17     1849.5     2416.0      652.0      355.8      186.4     223.03      412.5 
         18     1649.4     2270.0      625.0      326.6      186.4     223.03      367.9 
         19     1496.3     2314.0      562.0      322.7      186.4     223.03      333.7 
         20     2131.8     2744.0      775.0      394.1      186.4     223.03      475.5 
         21     2353.0     3089.0      602.0      444.1      186.4     223.03      524.8 
         22     2168.7     2996.0      764.0      368.6      186.4     223.03      483.7 
         23     2578.9     3316.0      586.0      497.8      186.4     223.03      575.2 
         24     2776.3     3884.0      737.0      557.8      186.4     223.03      619.2 
         25     2993.6     4083.0      933.0      599.1      186.4     223.03      667.7 
         26     3392.4     4726.0     1039.0      664.4      186.4     223.03      756.6 
         27     3786.3     5259.0      995.0      816.7      186.4     223.03      844.5 
         28     4156.0     6142.0     1244.0      883.6      186.4     223.03      926.9 
         29     5098.0     7702.0     1586.0     1090.6      186.4     223.03     1137.0 
         30     6023.5     9713.0     1771.0     1449.2      186.4     223.03     1343.4 
         31     7481.6    12441.0     2330.0     1980.2      186.4     223.03     1668.6 
         32     1406.0     2053.0      489.0      274.1      186.4     223.03      313.6 
         33     1590.4     2286.0      581.0      285.6      186.4     223.03      354.7 
         34     1633.0     2337.0      391.0      338.9      186.4     223.03      364.2 
         35     1740.0     2495.0      444.0      350.7      186.4     223.03      388.1 
         36     1936.7     2678.0      691.0      344.5      186.4     223.03      431.9 
         37     2125.9     2988.0      651.0      431.7      186.4     223.03      474.2 
         38     2284.1     3335.0      650.0      463.6      186.4     223.03      509.4 
         39     2500.5     3526.0      845.0      498.4      186.4     223.03      557.7 
         40     2794.4     4053.0      780.0      593.9      186.4     223.03      623.2 
         41     3046.1     4149.0     1079.0      599.8      186.4     223.03      679.4 
         42     3562.8     4934.0     1181.0      764.2      186.4     223.03      794.6 
         43     4092.6     5518.0     1304.0      869.2      186.4     223.03      912.8 
         44     4669.7     6287.0     1473.0     1060.0      186.4     223.03     1041.5 
         45     5621.7     8263.0     2140.0     1304.4      186.4     223.03     1253.8 
         46     7443.1    12420.0     2494.0     1995.2      186.4     223.03     1660.1 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     3427.5     5032.8     1131.3      739.3      186.4     223.03      764.5 
*    STDDEV     1961.4     3532.6      642.1      576.8        0.0       0.00      437.5 
*       MAX    10478.1    19497.0     3301.0     3176.5      186.4     223.03     2337.0 
*       MIN     1406.0     2053.0      391.0      265.7      186.4     223.03      313.6 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
