*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (19:27) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:068, y:081)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Tumor PZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      19.9 pixel,        21.73 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     3439.2     7060.0     2078.0      700.4      310.1     370.92     1275.7 
          2      840.7     1340.0      351.0      188.1      310.1     370.92      311.8 
          3      854.9     1393.0      372.0      189.9      310.1     370.92      317.1 
          4      913.6     1429.0      535.0      187.1      310.1     370.92      338.9 
          5      948.3     1484.0      388.0      210.3      310.1     370.92      351.7 
          6     1009.7     1558.0      501.0      229.6      310.1     370.92      374.5 
          7     1106.6     1456.0      671.0      171.7      310.1     370.92      410.5 
          8     1258.8     1949.0      695.0      251.1      310.1     370.92      466.9 
          9     1294.0     1867.0      814.0      216.5      310.1     370.92      480.0 
         10     1449.4     2026.0      949.0      262.2      310.1     370.92      537.6 
         11     1555.8     2340.0      786.0      305.0      310.1     370.92      577.1 
         12     1794.6     2776.0     1243.0      342.1      310.1     370.92      665.7 
         13     2007.2     3052.0     1339.0      379.0      310.1     370.92      744.5 
         14     2232.1     3184.0     1614.0      385.7      310.1     370.92      828.0 
         15     2549.9     4012.0     1857.0      449.3      310.1     370.92      945.8 
         16     2972.1     5296.0     2183.0      582.9      310.1     370.92     1102.4 
         17      799.9     1275.0      442.0      147.3      310.1     370.92      296.7 
         18      857.1     1251.0      481.0      141.6      310.1     370.92      317.9 
         19      877.1     1285.0      361.0      149.4      310.1     370.92      325.3 
         20      968.0     1336.0      485.0      153.6      310.1     370.92      359.0 
         21      975.4     1503.0      532.0      162.2      310.1     370.92      361.8 
         22     1112.6     1528.0      725.0      149.0      310.1     370.92      412.7 
         23     1205.2     1870.0      744.0      193.1      310.1     370.92      447.0 
         24     1320.7     1873.0      822.0      193.9      310.1     370.92      489.9 
         25     1445.7     1796.0      899.0      176.5      310.1     370.92      536.3 
         26     1579.2     2191.0      893.0      234.6      310.1     370.92      585.8 
         27     1782.2     2454.0     1202.0      250.8      310.1     370.92      661.1 
         28     1917.9     2667.0     1329.0      284.7      310.1     370.92      711.4 
         29     2201.4     3011.0     1671.0      322.6      310.1     370.92      816.6 
         30     2516.1     3528.0     1898.0      397.1      310.1     370.92      933.3 
         31     2988.9     5006.0     2316.0      559.0      310.1     370.92     1108.6 
         32      807.7     1280.0      406.0      181.5      310.1     370.92      299.6 
         33      899.9     1372.0      367.0      187.5      310.1     370.92      333.8 
         34      910.7     1358.0      415.0      198.8      310.1     370.92      337.8 
         35     1014.2     1682.0      560.0      223.2      310.1     370.92      376.2 
         36     1061.8     1855.0      579.0      274.8      310.1     370.92      393.8 
         37     1087.8     1736.0      590.0      239.6      310.1     370.92      403.5 
         38     1201.9     1940.0      644.0      279.9      310.1     370.92      445.8 
         39     1342.1     2068.0      717.0      307.2      310.1     370.92      497.8 
         40     1434.5     2152.0      804.0      312.6      310.1     370.92      532.1 
         41     1596.8     2439.0      846.0      350.8      310.1     370.92      592.3 
         42     1675.8     2432.0      893.0      340.6      310.1     370.92      621.6 
         43     1883.2     2989.0     1155.0      404.0      310.1     370.92      698.5 
         44     2124.0     3187.0     1349.0      447.0      310.1     370.92      787.8 
         45     2472.6     3738.0     1717.0      505.0      310.1     370.92      917.2 
         46     2863.8     4768.0     1974.0      560.5      310.1     370.92     1062.2 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1546.8     2386.8      960.7      290.9      310.1     370.92      573.7 
*    STDDEV      686.7     1242.1      558.7      133.5        0.0       0.00      254.7 
*       MAX     3439.2     7060.0     2316.0      700.4      310.1     370.92     1275.7 
*       MIN      799.9     1251.0      351.0      141.6      310.1     370.92      296.7 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
