*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (19:17) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:064, y:074)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Tumor PZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      20.1 pixel,        22.00 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     8148.9    12084.0     5219.0     1586.3      317.8     380.12     3097.5 
          2     1445.0     2367.0      590.0      365.4      317.8     380.12      549.3 
          3     1497.7     2201.0      647.0      338.8      317.8     380.12      569.3 
          4     1522.0     2461.0      720.0      367.1      317.8     380.12      578.5 
          5     1595.4     2577.0      677.0      390.6      317.8     380.12      606.5 
          6     1713.6     2627.0      632.0      415.0      317.8     380.12      651.4 
          7     1855.1     2832.0      768.0      452.1      317.8     380.12      705.2 
          8     2034.5     3078.0      605.0      509.5      317.8     380.12      773.4 
          9     2230.6     3237.0      787.0      519.0      317.8     380.12      847.9 
         10     2399.2     3481.0     1270.0      558.0      317.8     380.12      912.0 
         11     2632.9     3746.0     1186.0      605.1      317.8     380.12     1000.8 
         12     2981.3     4204.0     1513.0      649.3      317.8     380.12     1133.2 
         13     3353.7     4466.0     1837.0      674.1      317.8     380.12     1274.8 
         14     3882.8     5037.0     2145.0      749.1      317.8     380.12     1475.9 
         15     4716.1     5930.0     2683.0      885.6      317.8     380.12     1792.7 
         16     6060.6     7988.0     3625.0     1122.0      317.8     380.12     2303.7 
         17     1349.1     2394.0      424.0      474.3      317.8     380.12      512.8 
         18     1343.8     2458.0      462.0      501.5      317.8     380.12      510.8 
         19     1429.2     2580.0      537.0      509.5      317.8     380.12      543.3 
         20     1524.2     2672.0      601.0      545.1      317.8     380.12      579.4 
         21     1636.4     2869.0      618.0      552.7      317.8     380.12      622.0 
         22     1738.4     2976.0      755.0      563.6      317.8     380.12      660.8 
         23     1869.7     3084.0      813.0      591.6      317.8     380.12      710.7 
         24     1994.7     3216.0      884.0      589.1      317.8     380.12      758.2 
         25     2192.1     3449.0      919.0      638.5      317.8     380.12      833.3 
         26     2415.2     3704.0     1193.0      654.6      317.8     380.12      918.1 
         27     2767.5     4082.0     1245.0      699.1      317.8     380.12     1052.0 
         28     3168.7     4454.0     1594.0      734.8      317.8     380.12     1204.5 
         29     3771.6     4975.0     2136.0      758.2      317.8     380.12     1433.7 
         30     4607.1     5901.0     2725.0      864.7      317.8     380.12     1751.3 
         31     5904.0     7589.0     3618.0     1096.4      317.8     380.12     2244.2 
         32     1328.0     2401.0      484.0      497.8      317.8     380.12      504.8 
         33     1385.4     2416.0      546.0      493.8      317.8     380.12      526.6 
         34     1506.8     2512.0      456.0      483.4      317.8     380.12      572.8 
         35     1550.6     2566.0      529.0      497.8      317.8     380.12      589.4 
         36     1641.7     2763.0      777.0      525.9      317.8     380.12      624.0 
         37     1755.9     2977.0      656.0      539.5      317.8     380.12      667.5 
         38     1886.5     3105.0      889.0      548.9      317.8     380.12      717.1 
         39     2018.5     3253.0     1074.0      549.4      317.8     380.12      767.3 
         40     2257.3     3498.0      996.0      580.4      317.8     380.12      858.1 
         41     2527.6     3684.0     1347.0      587.5      317.8     380.12      960.8 
         42     2776.8     3949.0     1544.0      599.7      317.8     380.12     1055.5 
         43     3227.6     4247.0     1942.0      633.7      317.8     380.12     1226.9 
         44     3852.1     5084.0     2509.0      687.4      317.8     380.12     1464.3 
         45     4609.6     5743.0     3064.0      776.6      317.8     380.12     1752.2 
         46     4620.0     5771.0     3193.0      687.8      317.8     380.12     1756.1 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     2667.9     3884.5     1379.0      622.8      317.8     380.12     1014.1 
*    STDDEV     1484.5     1841.6     1062.7      218.6        0.0       0.00      564.3 
*       MAX     8148.9    12084.0     5219.0     1586.3      317.8     380.12     3097.5 
*       MIN     1328.0     2201.0      424.0      338.8      317.8     380.12      504.8 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
