*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:53) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   256  (x:000, y:000)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 280.0              
* IROI(s)            : Normal PZ (Green        )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      13.5 pixel,        14.73 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     7166.2     9289.0     5133.0      860.8      142.4     170.40     1221.1 
          2      380.9      475.0      219.0       54.8      142.4     170.40       64.9 
          3      384.5      573.0      242.0       57.7      142.4     170.40       65.5 
          4      437.0      584.0      244.0       59.7      142.4     170.40       74.5 
          5      491.1      747.0      271.0       72.9      142.4     170.40       83.7 
          6      566.9      798.0      328.0       76.5      142.4     170.40       96.6 
          7      611.3      914.0      370.0      100.0      142.4     170.40      104.2 
          8      714.4      921.0      474.0       84.7      142.4     170.40      121.7 
          9      781.5     1007.0      497.0      100.3      142.4     170.40      133.2 
         10      930.3     1310.0      570.0      106.1      142.4     170.40      158.5 
         11     1123.2     1453.0      811.0      110.2      142.4     170.40      191.4 
         12     1375.1     1666.0      925.0      137.6      142.4     170.40      234.3 
         13     1731.7     2054.0     1137.0      157.5      142.4     170.40      295.1 
         14     2344.0     2695.0     1563.0      180.8      142.4     170.40      399.4 
         15     3202.0     3806.0     2272.0      244.3      142.4     170.40      545.6 
         16     4729.7     5935.0     3205.0      486.3      142.4     170.40      805.9 
         17      362.6      531.0      147.0       77.2      142.4     170.40       61.8 
         18      466.9      747.0      289.0      102.2      142.4     170.40       79.6 
         19      463.7      650.0      271.0       79.6      142.4     170.40       79.0 
         20      501.0      805.0      244.0       94.9      142.4     170.40       85.4 
         21      539.6      775.0      342.0       75.6      142.4     170.40       92.0 
         22      639.6      989.0      451.0      108.2      142.4     170.40      109.0 
         23      749.7     1071.0      425.0      105.7      142.4     170.40      127.7 
         24      843.0     1327.0      543.0      113.3      142.4     170.40      143.6 
         25     1002.4     1419.0      667.0      141.3      142.4     170.40      170.8 
         26     1192.6     1716.0      823.0      158.0      142.4     170.40      203.2 
         27     1467.1     1926.0      927.0      173.6      142.4     170.40      250.0 
         28     1856.8     2320.0     1219.0      175.9      142.4     170.40      316.4 
         29     2385.8     2799.0     1599.0      162.0      142.4     170.40      406.5 
         30     3354.6     3983.0     2350.0      255.7      142.4     170.40      571.6 
         31     4872.4     6034.0     3337.0      446.6      142.4     170.40      830.2 
         32      369.6      571.0      198.0       69.1      142.4     170.40       63.0 
         33      396.6      572.0      195.0       82.3      142.4     170.40       67.6 
         34      430.7      586.0      272.0       84.7      142.4     170.40       73.4 
         35      454.6      635.0      269.0       83.5      142.4     170.40       77.5 
         36      548.9      678.0      347.0       66.9      142.4     170.40       93.5 
         37      622.5      914.0      412.0      107.6      142.4     170.40      106.1 
         38      712.4     1065.0      462.0       92.6      142.4     170.40      121.4 
         39      792.8     1138.0      563.0      104.4      142.4     170.40      135.1 
         40      949.3     1361.0      652.0      115.3      142.4     170.40      161.8 
         41     1156.2     1596.0      779.0      139.6      142.4     170.40      197.0 
         42     1429.5     1878.0     1028.0      138.8      142.4     170.40      243.6 
         43     1766.4     2347.0     1230.0      140.1      142.4     170.40      301.0 
         44     2422.9     3064.0     1771.0      176.2      142.4     170.40      412.8 
         45     3495.1     4103.0     2332.0      278.6      142.4     170.40      595.6 
         46     5032.6     6117.0     3389.0      464.1      142.4     170.40      857.5 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1483.6     1911.8      995.5      158.8      142.4     170.40      252.8 
*    STDDEV     1510.0     1846.9     1066.1      145.5        0.0       0.00      257.3 
*       MAX     7166.2     9289.0     5133.0      860.8      142.4     170.40     1221.1 
*       MIN      362.6      475.0      147.0       54.8      142.4     170.40       61.8 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
