*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:53) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                           
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   256  (x:000, y:000)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 280.0              
* IROI(s)            : Normal TZ (  Yellow      )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      17.9 pixel,        19.54 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     4232.4     6119.0     3289.0      502.6      250.6     299.82     1269.0 
          2      205.4      293.0        7.0       46.8      250.6     299.82       61.6 
          3      217.0      346.0       49.0       63.3      250.6     299.82       65.1 
          4      217.4      388.0       39.0       74.1      250.6     299.82       65.2 
          5      252.3      372.0      111.0       61.2      250.6     299.82       75.6 
          6      295.4      470.0       77.0       72.2      250.6     299.82       88.6 
          7      310.3      476.0      154.0       75.3      250.6     299.82       93.0 
          8      376.0      563.0      134.0       99.7      250.6     299.82      112.7 
          9      440.4      656.0      203.0      106.0      250.6     299.82      132.1 
         10      521.9      733.0      235.0      113.3      250.6     299.82      156.5 
         11      651.5      919.0      351.0      125.5      250.6     299.82      195.3 
         12      794.4     1166.0      504.0      158.7      250.6     299.82      238.2 
         13     1049.2     1369.0      704.0      155.0      250.6     299.82      314.6 
         14     1391.8     1853.0      911.0      194.4      250.6     299.82      417.3 
         15     1927.6     2492.0     1395.0      235.0      250.6     299.82      577.9 
         16     2778.0     3797.0     2016.0      341.1      250.6     299.82      832.9 
         17      146.9      300.0       28.0       65.7      250.6     299.82       44.0 
         18      202.4      353.0       26.0       75.3      250.6     299.82       60.7 
         19      223.0      425.0       53.0       66.3      250.6     299.82       66.9 
         20      239.0      448.0       41.0       94.7      250.6     299.82       71.7 
         21      284.3      473.0      142.0       74.6      250.6     299.82       85.2 
         22      326.6      508.0      188.0       86.8      250.6     299.82       97.9 
         23      378.6      567.0      171.0       95.0      250.6     299.82      113.5 
         24      445.6      794.0      226.0      109.8      250.6     299.82      133.6 
         25      531.8      806.0      288.0      116.3      250.6     299.82      159.5 
         26      647.1      924.0      421.0      122.2      250.6     299.82      194.0 
         27      777.3     1104.0      538.0      139.9      250.6     299.82      233.0 
         28     1071.1     1549.0      756.0      184.3      250.6     299.82      321.1 
         29     1397.0     1886.0     1060.0      204.9      250.6     299.82      418.8 
         30     1910.0     2681.0     1522.0      249.0      250.6     299.82      572.7 
         31     2818.9     4102.0     2222.0      347.9      250.6     299.82      845.2 
         32      183.4      354.0        3.0       73.0      250.6     299.82       55.0 
         33      223.6      383.0       58.0       72.0      250.6     299.82       67.0 
         34      223.6      359.0       78.0       61.9      250.6     299.82       67.0 
         35      261.7      408.0       58.0       67.5      250.6     299.82       78.5 
         36      303.2      467.0      114.0       79.2      250.6     299.82       90.9 
         37      358.2      523.0      151.0       85.6      250.6     299.82      107.4 
         38      384.1      630.0      158.0      103.8      250.6     299.82      115.2 
         39      460.6      728.0      224.0      131.2      250.6     299.82      138.1 
         40      539.2      805.0      309.0      111.8      250.6     299.82      161.7 
         41      661.7      936.0      417.0      129.1      250.6     299.82      198.4 
         42      836.3     1232.0      507.0      152.8      250.6     299.82      250.7 
         43     1051.2     1428.0      668.0      172.8      250.6     299.82      315.2 
         44     1407.2     1908.0      986.0      200.0      250.6     299.82      421.9 
         45     1965.8     2683.0     1303.0      256.5      250.6     299.82      589.4 
         46     2799.6     4067.0     2034.0      363.4      250.6     299.82      839.4 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN      841.7     1214.0      541.9      141.7      250.6     299.82      252.4 
*    STDDEV      888.6     1239.9      710.6       95.3        0.0       0.00      266.4 
*       MAX     4232.4     6119.0     3289.0      502.6      250.6     299.82     1269.0 
*       MIN      146.9      293.0        3.0       46.8      250.6     299.82       44.0 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
