*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:06) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                    
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   256  (x:000, y:000)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 280.0              
* IROI(s)            : Normal PZ (Green        )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      11.5 pixel,        12.60 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     9948.3    11917.0     6853.0     1050.2      104.2     124.64     1239.9 
          2      306.6      412.0      163.0       53.4      104.2     124.64       38.2 
          3      285.5      460.0      175.0       61.4      104.2     124.64       35.6 
          4      426.0      608.0      315.0       67.6      104.2     124.64       53.1 
          5      417.8      605.0      187.0       91.6      104.2     124.64       52.1 
          6      447.3      586.0      251.0       79.3      104.2     124.64       55.7 
          7      569.0      720.0      294.0       79.3      104.2     124.64       70.9 
          8      420.0      640.0      225.0       88.1      104.2     124.64       52.3 
          9      679.2      922.0       76.0      159.1      104.2     124.64       84.7 
         10      786.3     1128.0      489.0      166.9      104.2     124.64       98.0 
         11     1082.5     1370.0      781.0      144.4      104.2     124.64      134.9 
         12     1372.5     1722.0      938.0      194.9      104.2     124.64      171.1 
         13     1848.9     2185.0     1292.0      197.9      104.2     124.64      230.4 
         14     2667.5     3098.0     1928.0      232.4      104.2     124.64      332.5 
         15     3970.4     4582.0     2932.0      339.7      104.2     124.64      494.9 
         16     6152.9     7081.0     4442.0      543.1      104.2     124.64      766.9 
         17      371.0      520.0      216.0       60.6      104.2     124.64       46.2 
         18      393.6      525.0      239.0       62.5      104.2     124.64       49.1 
         19      417.6      620.0      203.0       75.3      104.2     124.64       52.0 
         20      534.7      728.0      354.0       78.5      104.2     124.64       66.6 
         21      523.1      661.0      322.0       78.6      104.2     124.64       65.2 
         22      650.6      831.0      481.0       80.8      104.2     124.64       81.1 
         23      701.8      914.0      369.0       93.1      104.2     124.64       87.5 
         24      815.5      958.0      567.0       83.6      104.2     124.64      101.6 
         25      997.4     1230.0      649.0      113.7      104.2     124.64      124.3 
         26     1213.7     1511.0      923.0      123.7      104.2     124.64      151.3 
         27     1525.2     1773.0     1205.0      152.9      104.2     124.64      190.1 
         28     2058.5     2382.0     1429.0      202.2      104.2     124.64      256.6 
         29     2927.2     3407.0     2208.0      245.3      104.2     124.64      364.8 
         30     4200.3     4822.0     2812.0      394.8      104.2     124.64      523.5 
         31     6348.7     7263.0     4701.0      550.9      104.2     124.64      791.3 
         32      334.0      599.0      115.0       82.0      104.2     124.64       41.6 
         33      368.6      639.0      128.0       90.6      104.2     124.64       45.9 
         34      311.5      612.0      110.0       94.4      104.2     124.64       38.8 
         35      342.3      638.0       88.0      121.6      104.2     124.64       42.7 
         36      444.8      798.0      161.0       90.4      104.2     124.64       55.4 
         37      494.9      895.0      157.0      111.0      104.2     124.64       61.7 
         38      654.7      953.0      385.0       84.9      104.2     124.64       81.6 
         39      665.0     1134.0      381.0      131.0      104.2     124.64       82.9 
         40      783.3      948.0      399.0       89.7      104.2     124.64       97.6 
         41     1008.8     1398.0      513.0      123.6      104.2     124.64      125.7 
         42     1338.4     1639.0      780.0      173.2      104.2     124.64      166.8 
         43     1778.6     2142.0     1074.0      230.2      104.2     124.64      221.7 
         44     2583.1     2980.0     1799.0      206.8      104.2     124.64      322.0 
         45     3786.2     4349.0     2538.0      380.6      104.2     124.64      471.9 
         46     6168.2     7247.0     3932.0      612.3      104.2     124.64      768.8 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1654.8     2025.0     1099.5      186.3      104.2     124.64      206.3 
*    STDDEV     2044.5     2349.6     1457.7      187.1        0.0       0.00      254.8 
*       MAX     9948.3    11917.0     6853.0     1050.2      104.2     124.64     1239.9 
*       MIN      285.5      412.0       76.0       53.4      104.2     124.64       35.6 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
