*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (18:07) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    :                                                    
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   256  (x:000, y:000)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 280.0              
* IROI(s)            : Tumor TZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      16.5 pixel,        18.05 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     3172.0     4556.0     2223.0      522.4      213.9     255.86      811.6 
          2      468.9      645.0      287.0       78.0      213.9     255.86      120.0 
          3      463.7      609.0      273.0       76.5      213.9     255.86      118.6 
          4      510.2      716.0      305.0       84.1      213.9     255.86      130.5 
          5      549.0      750.0      299.0       91.6      213.9     255.86      140.5 
          6      586.5      813.0      374.0      100.3      213.9     255.86      150.1 
          7      640.1      890.0      385.0      114.7      213.9     255.86      163.8 
          8      714.0      945.0      461.0      114.6      213.9     255.86      182.7 
          9      767.1     1032.0      465.0      126.7      213.9     255.86      196.3 
         10      860.8     1107.0      591.0      131.6      213.9     255.86      220.2 
         11      980.6     1266.0      635.0      159.2      213.9     255.86      250.9 
         12     1136.6     1451.0      747.0      160.7      213.9     255.86      290.8 
         13     1325.7     1695.0      834.0      188.7      213.9     255.86      339.2 
         14     1555.5     1982.0     1115.0      218.7      213.9     255.86      398.0 
         15     1834.3     2320.0     1218.0      222.0      213.9     255.86      469.3 
         16     2326.1     2901.0     1724.0      272.8      213.9     255.86      595.1 
         17      458.4      570.0      257.0       64.3      213.9     255.86      117.3 
         18      497.7      692.0      278.0       70.9      213.9     255.86      127.3 
         19      525.1      705.0      304.0       75.4      213.9     255.86      134.4 
         20      572.8      785.0      300.0       91.3      213.9     255.86      146.5 
         21      603.2      781.0      376.0       82.4      213.9     255.86      154.3 
         22      658.6      873.0      452.0       89.8      213.9     255.86      168.5 
         23      725.0     1032.0      478.0      104.1      213.9     255.86      185.5 
         24      800.3     1024.0      507.0      118.2      213.9     255.86      204.8 
         25      880.2     1192.0      605.0      112.5      213.9     255.86      225.2 
         26     1005.4     1309.0      677.0      137.6      213.9     255.86      257.2 
         27     1139.7     1526.0      821.0      148.0      213.9     255.86      291.6 
         28     1335.7     1703.0      922.0      165.9      213.9     255.86      341.7 
         29     1570.2     2032.0     1115.0      199.9      213.9     255.86      401.8 
         30     1917.1     2366.0     1375.0      232.3      213.9     255.86      490.5 
         31     2337.9     3032.0     1792.0      283.5      213.9     255.86      598.2 
         32      423.2      661.0      150.0       93.0      213.9     255.86      108.3 
         33      448.1      598.0      179.0       84.3      213.9     255.86      114.7 
         34      486.5      704.0      225.0       99.5      213.9     255.86      124.5 
         35      525.8      785.0      249.0       93.7      213.9     255.86      134.5 
         36      546.9      778.0      271.0      106.4      213.9     255.86      139.9 
         37      597.7      914.0      294.0      134.2      213.9     255.86      152.9 
         38      681.2      973.0      388.0      128.0      213.9     255.86      174.3 
         39      742.6     1097.0      443.0      154.0      213.9     255.86      190.0 
         40      853.7     1237.0      505.0      153.5      213.9     255.86      218.4 
         41      943.8     1269.0      581.0      159.8      213.9     255.86      241.5 
         42     1095.2     1493.0      618.0      196.6      213.9     255.86      280.2 
         43     1272.7     1713.0      830.0      212.1      213.9     255.86      325.6 
         44     1518.7     1971.0     1061.0      226.6      213.9     255.86      388.6 
         45     1834.8     2444.0     1320.0      266.4      213.9     255.86      469.4 
         46     2304.0     3040.0     1618.0      321.3      213.9     255.86      589.5 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     1025.9     1369.1      672.3      153.6      213.9     255.86      262.5 
*    STDDEV      631.1      829.1      485.0       84.7        0.0       0.00      161.5 
*       MAX     3172.0     4556.0     2223.0      522.4      213.9     255.86      811.6 
*       MIN      423.2      570.0      150.0       64.3      213.9     255.86      108.3 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
