*_____________________________________________________________________________________________________________
*
* MR-Image Data                                                                  Monday, 15 May 2023 (17:53) 
*                                                                                                            
*_____________________________________________________________________________________________________________
*                                                                              
* Experiment Name    : 
*                                                                                 
*                                                                                 
*                                                                                 
* Experiment Date    :                                                           
* Images             :     46 
* Minimum Intensity  :      0 
* Maximum Intensity  :  32767 
*_____________________________________________________________________________________________________________
*
* Resolution [pixel] :  Processing  1024 ,    Image   256 ,    Subimage   128  (x:065, y:092)        
* Size        [mm]   :  Pixel       1.09 ,    Image 280.0 ,    Subimage 140.0              
* IROI(s)            : Tumor TZ ( Red       )
*_____________________________________________________________________________________________________________
*
* Mean IROI-Diameter :      14.3 pixel,        15.61 mm 
*_____________________________________________________________________________________________________________
*                                                                                                            
*        NR       MEAN        MAX        MIN     STDDEV       AREA       AREA       FLUX
*        []         []         []         []         []    [pixel]      [mm2] [10^3 mm2]
*_____________________________________________________________________________________________________________
*
          1     9460.1    12134.0     6602.0     1177.2      160.0     191.41     1810.7 
          2     2130.9     2797.0      740.0      421.2      160.0     191.41      407.9 
          3     2252.2     2807.0     1040.0      332.5      160.0     191.41      431.1 
          4     2358.4     3055.0      951.0      438.5      160.0     191.41      451.4 
          5     2569.9     3293.0      769.0      439.9      160.0     191.41      491.9 
          6     2707.7     3395.0     1235.0      441.0      160.0     191.41      518.3 
          7     2874.6     3725.0     1389.0      411.5      160.0     191.41      550.2 
          8     3214.1     4614.0     1074.0      643.6      160.0     191.41      615.2 
          9     3471.5     4533.0     1615.0      565.6      160.0     191.41      664.5 
         10     3706.3     4980.0     1783.0      607.6      160.0     191.41      709.4 
         11     3956.3     5066.0     1808.0      631.7      160.0     191.41      757.3 
         12     4535.2     5827.0     2087.0      743.0      160.0     191.41      868.1 
         13     4801.3     6353.0     2324.0      780.0      160.0     191.41      919.0 
         14     5397.6     6840.0     3071.0      849.9      160.0     191.41     1033.1 
         15     6136.5     7666.0     3596.0      828.2      160.0     191.41     1174.6 
         16     7332.7     9040.0     4667.0      956.6      160.0     191.41     1403.5 
         17     2228.5     2913.0      955.0      365.2      160.0     191.41      426.6 
         18     2337.7     3068.0     1044.0      393.7      160.0     191.41      447.5 
         19     2469.7     3500.0     1209.0      440.2      160.0     191.41      472.7 
         20     2655.3     3484.0     1121.0      480.1      160.0     191.41      508.2 
         21     2905.3     3854.0     1094.0      522.1      160.0     191.41      556.1 
         22     3069.4     3984.0     1485.0      511.5      160.0     191.41      587.5 
         23     3334.2     4203.0     1658.0      565.4      160.0     191.41      638.2 
         24     3571.8     4516.0     1777.0      578.9      160.0     191.41      683.7 
         25     3937.3     5172.0     1906.0      694.2      160.0     191.41      753.6 
         26     4272.8     5836.0     2217.0      751.5      160.0     191.41      817.8 
         27     4586.9     5739.0     2559.0      681.7      160.0     191.41      878.0 
         28     5122.5     6701.0     2773.0      802.1      160.0     191.41      980.5 
         29     5745.8     7563.0     3041.0      895.9      160.0     191.41     1099.8 
         30     6346.4     8275.0     4156.0      952.7      160.0     191.41     1214.7 
         31     7159.7     9250.0     5114.0      966.3      160.0     191.41     1370.4 
         32     2179.9     2983.0     1043.0      402.2      160.0     191.41      417.2 
         33     2294.9     3043.0     1001.0      416.3      160.0     191.41      439.3 
         34     2436.7     3346.0     1166.0      460.2      160.0     191.41      466.4 
         35     2570.4     3294.0     1346.0      443.9      160.0     191.41      492.0 
         36     2722.9     3601.0     1524.0      468.5      160.0     191.41      521.2 
         37     3029.4     3988.0     1641.0      555.4      160.0     191.41      579.8 
         38     3268.6     4595.0     1431.0      666.3      160.0     191.41      625.6 
         39     3407.7     4623.0     1899.0      623.4      160.0     191.41      652.3 
         40     3752.6     4943.0     1975.0      629.8      160.0     191.41      718.3 
         41     4183.0     5463.0     2409.0      722.7      160.0     191.41      800.7 
         42     4565.8     5770.0     2499.0      794.8      160.0     191.41      873.9 
         43     5029.4     6510.0     2729.0      816.9      160.0     191.41      962.7 
         44     5518.7     7159.0     3284.0      891.5      160.0     191.41     1056.3 
         45     6389.7     8168.0     4208.0      918.1      160.0     191.41     1223.0 
         46     7422.2     9391.0     5194.0     1006.5      160.0     191.41     1420.7 
*_____________________________________________________________________________________________________________
*                                                                                                             
*      MEAN     4030.9     5240.4     2178.5      645.3      160.0     191.41      771.5 
*    STDDEV     1711.8     2148.8     1335.5      206.8        0.0       0.00      327.7 
*       MAX     9460.1    12134.0     6602.0     1177.2      160.0     191.41     1810.7 
*       MIN     2130.9     2797.0      740.0      332.5      160.0     191.41      407.9 
*_____________________________________________________________________________________________________________
*
*
* XPhase v1.17                             
*_____________________________________________________________________________________________________________
